	Length
POLHP1	470
POLI	9471
POLK	9105
POLL	5420
POLM	4487
POLN	7721
POLQ	9400
POLR1A	13519
POLR1B	6329
POLR1C	5550
POLR1D	11210
POLR1E	2512
POLR2A	8355
POLR2B	5901
POLR2C	3940
POLR2CP1	765
POLR2D	5226
POLR2E	4865
POLR2F	7042
POLR2G	1923
POLR2H	3146
POLR2I	1269
POLR2J	1355
POLR2J2	2065
POLR2J3	8811
POLR2J4	7449
POLR2K	1711
POLR2KP1	168
POLR2KP2	177
POLR2L	1142
POLR2LP1	187
POLR2M	6574
POLR3A	8917
POLR3B	4858
POLR3C	2793
POLR3D	5611
POLR3DP1	1176
POLR3E	9488
POLR3F	2928
POLR3G	4019
POLR3GL	1799
POLR3GP1	261
POLR3GP2	668
POLR3H	6594
POLR3K	1889
POLR3KP1	342
POLR3KP2	325
POLRMT	5124
POLRMTP1	3668
POM121	9822
POM121B	2487
POM121C	8767
POM121L10P	1285
POM121L12	1283
POM121L13P	380
POM121L14P	1558
POM121L1P	2375
POM121L2	3354
POM121L3P	1163
POM121L4P	1891
POM121L6P	1826
POM121L7P	2404
POM121L8P	1281
POM121L9P	5137
POMC	1538
POMGNT1	6198
POMGNT2	2668
POMK	1877
POMP	1428
POMT1	6067
POMT2	10008
POMZP3	1861
PON1	2832
PON2	3843
PON3	4040
POP1	4852
POP4	6574
POP5	2173
POP7	988
POPDC2	2445
POPDC3	1881
POR	6112
PORCN	3011
POSTN	5464
POT1	5897
POT1-AS1	6304
POTEA	2268
POTEB	2281
POTEB2	1687
POTEB3	3418
POTEC	7118
POTED	2636
POTEE	4192
POTEF	4209
POTEG	2509
POTEH	2293
POTEH-AS1	2566
POTEI	7023
POTEJ	3383
POTEKP	2688
POTEM	2231
POU1F1	1569
POU2AF1	7416
POU2F1	16078
POU2F2	9072
POU2F3	6645
POU3F1	2184
POU3F2	4879
POU3F3	3064
POU3F4	3867
POU4F1	4547
POU4F2	3144
POU4F3	2569
POU5F1	2896
POU5F1B	4964
POU5F1P2	823
POU5F1P3	1078
POU5F1P4	1085
POU5F1P5	658
POU5F1P6	990
POU5F1P7	541
POU5F2	8418
POU6F1	6048
POU6F2	8231
POU6F2-AS1	381
POU6F2-AS2	514
PP12613	2230
PP2672	2438
PP2D1	2523
PP7080	2766
PPA1	5171
PPA2	4654
PPAN	2583
PPAN-P2RY11	2661
PPARA	13219
PPARD	4457
PPARG	4535
PPARGC1A	10870
PPARGC1B	12889
PPAT	5439
PPATP1	1547
PPATP2	508
PPBP	715
PPBPP1	373
PPBPP2	1362
PPCDC	3781
PPCS	2590
PPDPF	1094
PPDPFL	2059
PPEF1	3513
PPEF1-AS1	430
PPEF2	4979
PPFIA1	11704
PPFIA2	8573
PPFIA2-AS1	2024
PPFIA3	6451
PPFIA4	9707
PPFIBP1	11690
PPFIBP2	9800
PPHLN1	12155
PPIA	4432
PPIAL4A	660
PPIAL4C	600
PPIAL4D	495
PPIAL4E	785
PPIAL4F	660
PPIAL4G	3856
PPIAL4H	660
PPIAP1	496
PPIAP10	458
PPIAP11	493
PPIAP13	478
PPIAP14	496
PPIAP15	484
PPIAP16	487
PPIAP17	471
PPIAP19	492
PPIAP2	492
PPIAP20	135
PPIAP21	501
PPIAP22	498
PPIAP23	497
PPIAP24	471
PPIAP25	540
PPIAP26	522
PPIAP27	265
PPIAP28	485
PPIAP29	499
PPIAP3	505
PPIAP30	519
PPIAP31	495
PPIAP32	472
PPIAP33	555
PPIAP34	492
PPIAP35	492
PPIAP36	325
PPIAP37	493
PPIAP38	483
PPIAP39	498
PPIAP4	366
PPIAP40	490
PPIAP41	480
PPIAP42	487
PPIAP43	504
PPIAP44	259
PPIAP45	476
PPIAP46	3702
PPIAP47	495
PPIAP48	935
PPIAP49	499
PPIAP5	348
PPIAP50	494
PPIAP51	497
PPIAP52	492
PPIAP53	489
PPIAP54	487
PPIAP55	490
PPIAP56	467
PPIAP57	248
PPIAP58	472
PPIAP59	493
PPIAP6	499
PPIAP60	492
PPIAP62	481
PPIAP63	264
PPIAP64	483
PPIAP65	492
PPIAP66	498
PPIAP67	441
PPIAP68	502
PPIAP69	241
PPIAP7	489
PPIAP70	495
PPIAP71	493
PPIAP72	504
PPIAP73	403
PPIAP74	490
PPIAP75	484
PPIAP76	529
PPIAP77	499
PPIAP78	490
PPIAP79	504
PPIAP8	492
PPIAP80	490
PPIAP81	346
PPIAP82	499
PPIAP83	489
PPIAP84	482
PPIAP85	481
PPIAP86	520
PPIAP87	490
PPIAP88	466
PPIAP89	482
PPIAP9	498
PPIAP90	397
PPIAP91	494
PPIB	1911
PPIC	2098
PPID	2509
PPIE	8071
PPIEL	5416
PPIF	2674
PPIG	7368
PPIH	1444
PPIHP1	510
PPIL1	1810
PPIL1P1	499
PPIL2	7669
PPIL3	2914
PPIL4	2646
PPIL6	4481
PPIP5K1	8075
PPIP5K2	17270
PPL	7686
PPM1A	11860
PPM1AP1	1135
PPM1B	7103
PPM1D	5044
PPM1E	6542
PPM1F	10083
PPM1G	4092
PPM1H	7063
PPM1J	2874
PPM1K	11371
PPM1L	12447
PPM1M	3571
PPM1N	2571
PPME1	7917
PPOX	4607
PPP1CA	2711
PPP1CB	5760
PPP1CC	6906
PPP1R10	5215
PPP1R10P1	1795
PPP1R11	2538
PPP1R11P1	376
PPP1R11P2	382
PPP1R12A	11932
PPP1R12A-AS1	3234
PPP1R12B	21069
PPP1R12BP1	1671
PPP1R12BP2	639
PPP1R12C	7726
PPP1R13B	9588
PPP1R13L	5032
PPP1R14A	1501
PPP1R14B	1655
PPP1R14BP2	444
PPP1R14BP3	445
PPP1R14BP5	435
PPP1R14C	2152
PPP1R14D	873
PPP1R15A	3093
PPP1R15B	5227
PPP1R16A	5414
PPP1R16B	6400
PPP1R17	2384
PPP1R18	4599
PPP1R1A	3982
PPP1R1AP1	425
PPP1R1AP2	397
PPP1R1B	4554
PPP1R1C	4887
PPP1R2	5126
PPP1R21	3995
PPP1R26	5276
PPP1R26-AS1	3750
PPP1R26P1	3613
PPP1R26P2	3595
PPP1R26P3	3800
PPP1R26P4	3527
PPP1R26P5	3664
PPP1R27	1449
PPP1R2B	1991
PPP1R2C	880
PPP1R2P1	678
PPP1R2P10	595
PPP1R2P2	613
PPP1R2P4	595
PPP1R2P5	603
PPP1R2P6	588
PPP1R32	2400
PPP1R35	1187
PPP1R36	3093
PPP1R37	7823
PPP1R3A	4679
PPP1R3B	5776
PPP1R3C	2524
PPP1R3D	3630
PPP1R3E	5548
PPP1R3F	4173
PPP1R3G	4907
PPP1R42	2250
PPP1R7	3781
PPP1R8	2819
PPP1R8P1	1044
PPP1R9A	11151
PPP1R9B	4298
PPP2CA	5661
PPP2CB	4516
PPP2R1A	7437
PPP2R1B	6720
PPP2R2A	7865
PPP2R2B	13206
PPP2R2B-IT1	447
PPP2R2C	9198
PPP2R2D	7756
PPP2R2DP1	637
PPP2R3A	7837
PPP2R3B	9015
PPP2R3C	3863
PPP2R5A	3825
PPP2R5B	3376
PPP2R5C	14289
PPP2R5D	3314
PPP2R5E	9188
PPP3CA	5213
PPP3CB	5094
PPP3CB-AS1	5687
PPP3CC	2899
PPP3R1	3363
PPP3R2	3407
PPP4C	2734
PPP4R1	8131
PPP4R1-AS1	379
PPP4R1L	9251
PPP4R2	5964
PPP4R3A	5912
PPP4R3B	8217
PPP4R3C	3131
PPP4R4	4974
PPP5C	7059
PPP5D1	5703
PPP6C	4443
PPP6R1	6583
PPP6R2	5349
PPP6R2P1	1275
PPP6R3	8305
PPRC1	6095
PPT1	5088
PPT2	2940
PPT2-EGFL8	5512
PPTC7	5687
PPWD1	3777
PPY	987
PPY2P	846
PQBP1	1903
PQLC1	5225
PQLC1P1	429
PQLC2	2686
PQLC2L	3180
PQLC3	2275
PRAC1	386
PRAC2	657
PRADC1	1407
PRADC1P1	525
PRAF2	1736
PRAG1	4904
PRAL	3286
PRAM1	3763
PRAME	3775
PRAMEF1	2439
PRAMEF10	1525
PRAMEF11	1845
PRAMEF12	1786
PRAMEF13	2300
PRAMEF14	2301
PRAMEF15	1865
PRAMEF17	1578
PRAMEF18	2067
PRAMEF19	1440
PRAMEF2	1642
PRAMEF20	1597
PRAMEF25	1918
PRAMEF26	1863
PRAMEF27	1863
PRAMEF28P	1450
PRAMEF29P	1139
PRAMEF30P	1417
PRAMEF31P	1371
PRAMEF32P	1068
PRAMEF33	1518
PRAMEF34P	1447
PRAMEF35P	891
PRAMEF36P	1452
PRAMEF4	1828
PRAMEF5	1720
PRAMEF6	1784
PRAMEF7	1660
PRAMEF8	1937
PRAMEF9	1863
PRAMENP	3039
PRAP1	971
PRB1	1311
PRB2	1793
PRB3	1386
PRB4	916
PRC1	5525
PRC1-AS1	1799
PRCC	4108
PRCD	5305
PRCP	12798
PRDM1	6392
PRDM10	6626
PRDM11	13940
PRDM12	2476
PRDM13	3276
PRDM14	2443
PRDM15	13004
PRDM16	9767
PRDM2	10923
PRDM4	4777
PRDM5	9517
PRDM6	9350
PRDM7	4267
PRDM8	4588
PRDM9	4184
PRDX1	1522
PRDX1P1	596
PRDX2	2093
PRDX2P1	589
PRDX2P2	587
PRDX2P3	586
PRDX2P4	600
PRDX3	3417
PRDX3P1	763
PRDX3P2	611
PRDX3P3	522
PRDX3P4	747
PRDX4	1904
PRDX4P1	574
PRDX5	893
PRDX6	2367
PREB	3221
PRELID1	1875
PRELID1P1	903
PRELID1P2	396
PRELID1P3	643
PRELID1P4	512
PRELID2	5375
PRELID2P1	301
PRELID3A	2643
PRELID3B	2977
PRELID3BP1	540
PRELID3BP10	584
PRELID3BP11	479
PRELID3BP2	201
PRELID3BP3	545
PRELID3BP4	571
PRELID3BP5	460
PRELID3BP6	571
PRELID3BP7	469
PRELID3BP8	295
PRELP	5747
PREP	3762
PREPL	8153
PREX1	7393
PREX2	12058
PRF1	2534
PRG2	1838
PRG3	869
PRG4	5044
PRH1	3144
PRH2	757
PRICKLE1	8247
PRICKLE2	14747
PRICKLE2-AS1	6505
PRICKLE2-AS2	496
PRICKLE2-AS3	2496
PRICKLE3	3194
PRICKLE4	2718
PRIM1	2437
PRIM2	4667
PRIMA1	3892
PRIMPOL	2843
PRKAA1	6563
PRKAA2	9354
PRKAB1	6246
PRKAB2	5460
PRKACA	6144
PRKACB	6730
PRKACG	1585
PRKAG1	4184
PRKAG2	6740
PRKAG2-AS1	1163
PRKAG3	3334
PRKAR1A	6821
PRKAR1AP1	1162
PRKAR1B	4491
PRKAR2A	6644
PRKAR2A-AS1	3917
PRKAR2B	4318
PRKCA	11152
PRKCA-AS1	2647
PRKCB	11086
PRKCD	3396
PRKCE	9908
PRKCG	3381
PRKCH	8833
PRKCI	5841
PRKCQ	3295
PRKCQ-AS1	3892
PRKCSH	5166
PRKCZ	7636
PRKCZ-AS1	1734
PRKD1	5187
PRKD2	5446
PRKD3	10244
PRKDC	15417
PRKG1	12831
PRKG1-AS1	3252
PRKG2	5116
PRKN	5686
PRKRA	3941
PRKRA-AS1	4001
PRKRIP1	3696
PRKX	6452
PRKX-AS1	516
PRKXP1	1122
PRKY	7674
PRL	1364
PRLH	264
PRLHR	5565
PRLR	13108
PRM1	424
PRM2	724
PRM3	424
PRMT1	4796
PRMT1P1	1009
PRMT2	8031
PRMT3	5467
PRMT5	3467
PRMT5-AS1	3194
PRMT5P1	598
PRMT6	4335
PRMT7	9458
PRMT8	6644
PRMT9	4019
PRNCR1	12727
PRND	3980
PRNP	2851
PRNT	2333
PRO1804	2050
PROB1	5122
PROC	2495
PROCA1	4829
PROCR	1696
PRODH	8776
PRODH2	2731
PROK1	1338
PROK2	1612
PROKR1	4273
PROKR2	1155
PROM1	7434
PROM2	6063
PROP1	1464
PRORSD1P	2204
PRORY	878
PROS1	5444
PROS2P	1951
PROSER1	7315
PROSER2	3663
PROSER2-AS1	3274
PROSER3	6327
PROX1	8928
PROX1-AS1	10290
PROX2	4566
PROZ	1666
PRPF18	1865
PRPF19	2739
PRPF19P1	898
PRPF3	5373
PRPF31	2673
PRPF38A	5658
PRPF38AP1	933
PRPF38AP2	851
PRPF38B	5817
PRPF39	4932
PRPF4	3613
PRPF40A	9536
PRPF40B	9444
PRPF4B	7859
PRPF6	3044
PRPF8	11355
PRPH	4353
PRPH2	2976
PRPS1	2623
PRPS1L1	1090
PRPS1P1	876
PRPS1P2	937
PRPS2	2758
PRPSAP1	6939
PRPSAP2	4734
PRR11	4080
PRR12	7093
PRR13	2897
PRR13P1	408
PRR13P2	406
PRR13P3	376
PRR13P4	421
PRR13P5	442
PRR13P7	430
PRR14	3860
PRR14L	11809
PRR15	1982
PRR15L	1519
PRR16	2274
PRR18	3149
PRR19	2575
PRR20A	1847
PRR20B	1847
PRR20C	2061
PRR20D	1847
PRR20E	1847
PRR20FP	180
PRR20G	1084
PRR22	1806
PRR23A	801
PRR23B	1896
PRR23C	2791
PRR23D1	1587
PRR23D2	1587
PRR26	9247
PRR27	5336
PRR29	4142
PRR29-AS1	2926
PRR3	4281
PRR30	2008
PRR31	978
PRR32	1228
PRR33	3319
PRR34	2817
PRR34-AS1	1093
PRR35	2216
PRR36	4456
PRR4	1310
PRR5	5247
PRR5-ARHGAP8	3264
PRR5L	6616
PRR7	1772
PRR7-AS1	1701
PRR9	1229
PRRC1	9064
PRRC2A	9115
PRRC2B	12390
PRRC2C	14173
PRRC2CP1	159
PRRG1	6180
PRRG2	1701
PRRG3	6364
PRRG4	5530
PRRT1	3139
PRRT1B	1312
PRRT2	3755
PRRT3	3939
PRRT3-AS1	614
PRRT4	3683
PRRX1	8246
PRRX2	1311
PRRX2-AS1	429
PRSS1	1876
PRSS12	5725
PRSS16	5290
PRSS2	1259
PRSS21	1967
PRSS22	2387
PRSS23	11725
PRSS27	5921
PRSS29P	1966
PRSS3	1664
PRSS30P	2961
PRSS33	2112
PRSS35	2440
PRSS36	3685
PRSS37	2203
PRSS38	1267
PRSS3P1	742
PRSS3P3	983
PRSS3P4	162
PRSS40A	4282
PRSS40B	1853
PRSS41	1127
PRSS42	1857
PRSS44	1146
PRSS45	1050
PRSS46P	982
PRSS48	989
PRSS50	2960
PRSS51	3036
PRSS53	5501
PRSS54	2112
PRSS55	3135
PRSS56	2390
PRSS57	1090
PRSS58	1155
PRSS8	3010
PRTFDC1	2329
PRTG	14566
PRTN3	1146
PRUNE1	3156
PRUNE2	14656
PRUNEP1	705
PRX	5767
PRXL2A	6520
PRXL2AP1	668
PRXL2AP2	683
PRXL2B	3371
PRXL2C	3084
PRY	1353
PRY2	1353
PRYP1	445
PRYP2	492
PRYP3	1063
PRYP4	444
PRYP5	266
PRYP6	343
PSAP	3239
PSAPL1	4680
PSAT1	2188
PSAT1P1	1106
PSAT1P2	972
PSAT1P3	1111
PSAT1P4	526
PSCA	1763
PSD	6338
PSD2	4513
PSD2-AS1	412
PSD3	15213
PSD4	13442
PSEN1	9947
PSEN2	3752
PSENEN	1845
PSG1	4961
PSG10P	1819
PSG11	5032
PSG2	2798
PSG3	3486
PSG4	6274
PSG5	4678
PSG6	5140
PSG7	4795
PSG8	4090
PSG8-AS1	1873
PSG9	5048
PSIP1	6768
PSKH1	3977
PSKH2	1662
PSMA1	3301
PSMA2	5336
PSMA2P1	646
PSMA2P2	686
PSMA2P3	675
PSMA3	3119
PSMA3-AS1	7409
PSMA3P	635
PSMA4	6996
PSMA5	5724
PSMA6	6506
PSMA6P1	741
PSMA6P2	686
PSMA6P3	164
PSMA6P4	718
PSMA7	1750
PSMA8	1894
PSMB1	2256
PSMB10	1853
PSMB11	2110
PSMB2	4843
PSMB3	1179
PSMB3P2	618
PSMB4	2158
PSMB5	1765
PSMB6	1448
PSMB7	1787
PSMB7P1	514
PSMB8	2997
PSMB8-AS1	1951
PSMB9	3072
PSMC1	6161
PSMC1P1	1320
PSMC1P10	1327
PSMC1P11	1317
PSMC1P12	1314
PSMC1P13	985
PSMC1P2	1204
PSMC1P3	1318
PSMC1P4	1327
PSMC1P5	177
PSMC1P6	1319
PSMC1P7	1315
PSMC1P8	1296
PSMC1P9	1335
PSMC2	3547
PSMC3	2276
PSMC3IP	2573
PSMC4	2387
PSMC5	4490
PSMC6	7482
PSMD1	5187
PSMD10	2459
PSMD10P1	681
PSMD10P2	1087
PSMD10P3	448
PSMD11	7200
PSMD12	5364
PSMD12P	1366
PSMD13	4767
PSMD14	7698
PSMD2	5453
PSMD3	4964
PSMD4	3027
PSMD4P1	1109
PSMD5	4432
PSMD6	9123
PSMD6-AS1	441
PSMD6-AS2	2456
PSMD7	2740
PSMD7P1	546
PSMD8	3105
PSMD8P1	769
PSMD9	8774
PSME1	1781
PSME2	3582
PSME2P2	700
PSME2P6	327
PSME3	5152
PSME4	10241
PSMF1	5296
PSMG1	2515
PSMG2	3356
PSMG3	1960
PSMG3-AS1	6355
PSMG4	10418
PSORS1C1	5781
PSORS1C2	1150
PSORS1C3	593
PSPC1	4817
PSPC1-AS2	376
PSPC1P1	665
PSPC1P2	225
PSPH	2762
PSPHP1	261
PSPN	3911
PSRC1	2855
PSTK	6118
PSTPIP1	4468
PSTPIP2	4120
PTAFR	4706
PTAR1	12200
PTBP1	6883
PTBP1P	1601
PTBP2	12937
PTBP3	8239
PTCD1	5805
PTCD2	12115
PTCD2P1	1136
PTCD2P2	1095
PTCD3	10164
PTCH1	16591
PTCH2	5149
PTCHD1	13714
PTCHD1-AS	1135
PTCHD3	3595
PTCHD3P1	537
PTCHD3P2	1205
PTCHD3P3	906
PTCHD4	5177
PTCRA	1168
PTCSC2	2283
PTCSC3	571
PTDSS1	6295
PTDSS2	6113
PTEN	11581
PTENP1	3996
PTENP1-AS	873
PTER	4003
PTF1A	1629
PTGDR	3033
PTGDR2	2895
PTGDS	2711
PTGER1	1421
PTGER2	2473
PTGER3	9653
PTGER4	3961
PTGER4P2	526
PTGER4P2-CDK2AP2P2	3123
PTGER4P3	252
PTGES	1896
PTGES2	3039
PTGES2-AS1	2100
PTGES3	3399
PTGES3L	2856
PTGES3L-AARSD1	2383
PTGES3P1	483
PTGES3P2	482
PTGES3P3	482
PTGES3P4	356
PTGES3P5	434
PTGFR	4714
PTGFRN	6352
PTGIR	3546
PTGIS	5579
PTGR1	3760
PTGR2	8072
PTGS1	5791
PTGS2	5269
PTH	953
PTH1R	2758
PTH2	459
PTH2R	4390
PTHLH	3377
PTK2	13742
PTK2B	7933
PTK6	2947
PTK7	9024
PTMA	3378
PTMAP1	325
PTMAP10	329
PTMAP11	330
PTMAP12	330
PTMAP15	291
PTMAP2	327
PTMAP3	330
PTMAP4	346
PTMAP5	1162
PTMAP6	327
PTMAP8	342
PTMAP9	327
PTMS	1475
PTN	1713
PTOV1	5962
PTOV1-AS1	4203
PTOV1-AS2	1023
PTP4A1	5281
PTP4A1P1	515
PTP4A1P2	454
PTP4A1P3	420
PTP4A1P4	322
PTP4A1P5	455
PTP4A1P6	478
PTP4A1P7	514
PTP4A2	6719
PTP4A2P1	478
PTP4A2P2	502
PTP4A3	2877
PTPA	5624
PTPDC1	6404
PTPMT1	2740
PTPN1	4041
PTPN11	7023
PTPN12	5547
PTPN13	9496
PTPN14	18756
PTPN18	5774
PTPN2	8717
PTPN20	4506
PTPN20CP	920
PTPN21	7396
PTPN22	4503
PTPN23	5981
PTPN2P1	1072
PTPN2P2	1024
PTPN3	9995
PTPN4	12486
PTPN5	5497
PTPN6	5009
PTPN7	5906
PTPN9	8632
PTPRA	4469
PTPRB	14542
PTPRC	9168
PTPRCAP	1292
PTPRD	11165
PTPRD-AS1	2494
PTPRD-AS2	2838
PTPRE	11235
PTPRF	10712
PTPRG	14629
PTPRG-AS1	4496
PTPRH	4344
PTPRJ	9620
PTPRJ-AS1	301
PTPRK	9000
PTPRM	9900
PTPRN	8261
PTPRN2	4833
PTPRO	7519
PTPRQ	12477
PTPRR	5142
PTPRS	8565
PTPRT	12943
PTPRU	6682
PTPRVP	6596
PTPRZ1	9917
PTRH1	4072
PTRH2	4740
PTRHD1	1917
PTS	3130
PTTG1	2013
PTTG1IP	3537
PTTG2	691
PTTG3P	606
PTTG4P	352
PTX3	1940
PTX4	1688
PUDP	3168
PUDPP1	495
PUDPP2	1112
PUDPP3	636
PUF60	5424
PUM1	6621
PUM2	6978
PUM3	2707
PURA	12185
PURB	9069
PURG	3771
PURPL	2638
PUS1	5732
PUS10	7651
PUS3	2010
PUS7	4421
PUS7L	14037
PUSL1	2489
PVALB	1050
PVALEF	1803
PVR	3519
PVRIG	1984
PVRIG2P	978
PVT1	5493
PWAR1	2414
PWAR5	3180
PWAR6	4618
PWP1	2876
PWP2	6922
PWRN1	4833
PWRN2	4824
PWRN3	849
PWRN4	420
PWWP2A	6510
PWWP2AP1	2273
PWWP2B	2651
PXDC1	2474
PXDN	11257
PXDNL	5238
PXK	5354
PXMP2	1408
PXMP4	5723
PXN	7460
PXN-AS1	2380
PXT1	2108
PXYLP1	13325
PYCARD	1661
PYCARD-AS1	1095
PYCR1	2886
PYCR2	3602
PYCR3	3244
PYDC1	861
PYDC2	294
PYGB	4474
PYGL	4798
PYGM	4981
PYGO1	8615
PYGO2	3630
PYHIN1	3479
PYHIN5P	723
PYM1	2425
PYROXD1	5725
PYROXD2	3867
PYURF	1361
PYY	1181
PYY2	1076
PYY3	213
PZP	6227
QARS	4708
QDPR	3059
QKI	17368
QPCT	2696
QPCTL	2396
QPRT	3642
QRFP	1658
QRFPR	2160
QRICH1	5499
QRICH2	5775
QRSL1	5453
QRSL1P1	1540
QRSL1P2	964
QRSL1P3	1316
QSER1	10899
QSOX1	9311
QSOX2	4530
QTRT1	3430
QTRT1P1	1078
QTRT2	8054
R3HCC1	2630
R3HCC1L	3571
R3HDM1	7898
R3HDM2	5903
R3HDM2P1	1960
R3HDM2P2	2116
R3HDM4	2957
R3HDML	1377
RAB10	3631
RAB11A	5682
RAB11AP1	646
RAB11AP2	639
RAB11B	2470
RAB11B-AS1	1156
RAB11FIP1	9602
RAB11FIP1P1	1762
RAB11FIP2	6169
RAB11FIP3	6317
RAB11FIP4	15383
RAB11FIP5	7058
RAB12	2476
RAB13	2751
RAB14	4304
RAB15	5015
RAB17	4783
RAB18	6223
RAB19	997
RAB1A	3312
RAB1B	2007
RAB1C	606
RAB20	1518
RAB21	16036
RAB22A	9285
RAB23	4926
RAB24	2065
RAB25	1699
RAB26	2488
RAB27A	5605
RAB27B	7432
RAB28	2221
RAB28P1	641
RAB28P2	641
RAB28P3	597
RAB28P4	665
RAB28P5	651
RAB29	3882
RAB2A	5654
RAB2B	3610
RAB30	11832
RAB30-AS1	2429
RAB31	5586
RAB32	1217
RAB33A	1258
RAB33B	5028
RAB34	3325
RAB35	4022
RAB36	4107
RAB37	5074
RAB38	1465
RAB39A	1830
RAB39B	3505
RAB3A	1818
RAB3B	12844
RAB3C	9656
RAB3D	4417
RAB3GAP1	6629
RAB3GAP2	10344
RAB3IL1	3006
RAB3IP	12612
RAB40A	4018
RAB40AL	1029
RAB40B	6194
RAB40C	4180
RAB41	1344
RAB42	2200
RAB42P1	316
RAB43	4991
RAB43P1	589
RAB44	4274
RAB4A	3310
RAB4B	3931
RAB4B-EGLN2	3088
RAB5A	3785
RAB5B	6588
RAB5C	2761
RAB5CP1	580
RAB5CP2	637
RAB5IF	1549
RAB6A	4896
RAB6B	6005
RAB6C	3075
RAB6C-AS1	3949
RAB6D	3032
RAB7A	2717
RAB7B	3686
RAB8A	5191
RAB8B	5200
RAB9A	2118
RAB9AP1	573
RAB9AP2	597
RAB9AP3	573
RAB9AP4	609
RAB9AP5	597
RAB9B	3748
RAB9BP1	626
RABAC1	1999
RABEP1	6531
RABEP2	4566
RABEPK	3401
RABEPKP1	1026
RABGAP1	9162
RABGAP1L	16071
RABGAP1L-IT1	737
RABGEF1	5529
RABGGTA	3545
RABGGTB	5913
RABIF	2430
RABL2A	6008
RABL2B	5870
RABL3	4684
RABL6	10178
RAC1	3114
RAC1P1	580
RAC1P2	579
RAC1P3	580
RAC1P4	579
RAC1P5	576
RAC1P6	575
RAC1P7	377
RAC1P8	527
RAC1P9	392
RAC2	2532
RAC3	1527
RACGAP1	4487
RACGAP1P	1879
RACK1	5990
RAD1	6766
RAD17	4159
RAD17P1	2042
RAD17P2	1977
RAD18	6983
RAD1P1	813
RAD1P2	663
RAD21	6192
RAD21-AS1	2010
RAD21L1	2730
RAD23A	2449
RAD23B	4615
RAD23BP1	1227
RAD23BP2	1207
RAD23BP3	1152
RAD50	9771
RAD51	3046
RAD51-AS1	2177
RAD51AP1	2558
RAD51AP1P1	1001
RAD51AP2	3724
RAD51B	7477
RAD51C	6068
RAD51D	11304
RAD52	4190
RAD54B	5313
RAD54L	3212
RAD54L2	11924
RAD9A	4169
RAD9B	3178
RADIL	6516
RADX	4853
RAE1	5855
RAET1E	3004
RAET1E-AS1	1494
RAET1G	1486
RAET1K	1896
RAET1L	1346
RAET1M	596
RAF1	7847
RAF1P1	1696
RAG1	7815
RAG2	3502
RAI1	9693
RAI1-AS1	724
RAI14	7687
RAI2	2622
RALA	3665
RALB	2915
RALBP1	8043
RALGAPA1	14258
RALGAPA1P1	6232
RALGAPA2	11471
RALGAPB	12633
RALGDS	7584
RALGPS1	10507
RALGPS2	9178
RALY	7513
RALY-AS1	8836
RALYL	4538
RAMAC	1568
RAMACL	1991
RAMP1	1234
RAMP2	1148
RAMP2-AS1	4168
RAMP3	1427
RAN	4825
RANBP1	4622
RANBP10	6460
RANBP17	10965
RANBP2	12302
RANBP20P	2104
RANBP3	7445
RANBP3L	3363
RANBP6	4583
RANBP9	3347
RANGAP1	5348
RANGRF	1577
RANP1	651
RANP2	229
RANP3	276
RANP4	655
RANP5	655
RANP6	644
RANP7	644
RANP8	713
RANP9	271
RAP1A	5532
RAP1AP	451
RAP1B	16942
RAP1BP1	553
RAP1BP2	544
RAP1BP3	549
RAP1GAP	5755
RAP1GAP2	7530
RAP1GDS1	5424
RAP2A	5570
RAP2B	8351
RAP2C	4118
RAP2C-AS1	3536
RAP2CP1	733
RAPGEF1	7002
RAPGEF2	13275
RAPGEF3	12078
RAPGEF4	7129
RAPGEF4-AS1	5217
RAPGEF5	10245
RAPGEF6	11125
RAPGEFL1	5711
RAPH1	11697
RAPSN	1918
RARA	4731
RARA-AS1	1790
RARB	3697
RARG	5127
RARRES1	2236
RARRES2	1921
RARRES2P1	481
RARRES2P10	460
RARRES2P11	484
RARRES2P2	485
RARRES2P3	473
RARRES2P4	484
RARRES2P5	466
RARRES2P6	442
RARRES2P7	469
RARRES2P8	367
RARRES2P9	469
RARRES3	1299
RARS	3421
RARS2	2545
RARSP1	1418
RASA1	5232
RASA2	5993
RASA2-IT1	612
RASA3	4763
RASA3-IT1	380
RASA4	8077
RASA4B	4840
RASA4CP	4056
RASA4DP	1199
RASAL1	4813
RASAL2	16044
RASAL2-AS1	2356
RASAL3	4681
RASD1	1748
RASD2	3412
RASEF	6649
RASGEF1A	6073
RASGEF1B	10183
RASGEF1C	2961
RASGRF1	9929
RASGRF2	10717
RASGRF2-AS1	1166
RASGRP1	6097
RASGRP2	6084
RASGRP3	11118
RASGRP4	4183
RASIP1	4149
RASL10A	2240
RASL10B	3502
RASL11A	1624
RASL11B	2472
RASL12	2802
RASSF1	3683
RASSF1-AS1	790
RASSF10	2530
RASSF2	5759
RASSF3	4226
RASSF4	9481
RASSF5	6976
RASSF6	6632
RASSF7	2492
RASSF8	7619
RASSF8-AS1	3981
RASSF9	5682
RAVER1	4981
RAVER2	6070
RAX	3725
RAX2	2414
RB1	6452
RB1-DT	1143
RB1CC1	7615
RBAK	6960
RBAK-RBAKDN	1049
RBAKDN	514
RBBP4	9470
RBBP4P1	1276
RBBP4P2	1264
RBBP4P3	1283
RBBP4P4	1289
RBBP4P5	1266
